"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Shop dropdown","0","0","As the user I want to scroll to the likeable tags","0"
"1","","0","Home page","0","0","As an user, I want to click on the first game in swiper","0"
"0","","0","Search bar","1","0","As an user, I want to search for 'Witcher'","0"
"1","","0","Shop dropdown","0","0","As the user I want to access the shop dropdown and get to the open world menu","0"
"1","","0","Shop dropdown","0","0","As the user I want to scroll to the available games","0"
"1","","0","Shop dropdown","0","0","As the user I want to go to the strategy page","0"
"2","","0","Assistance page","0","0","","0"
"1","","0","Shop dropdown","0","0","As the user I want to access the shop dropdown and get to the open world menu and check the games","0"
"0","","0","Search bar","1","0","As an user, I want to use the filter 'Good Old Games'","0"
"0","","1","Search bar","0","0","As an user, I want to reset the filters","0"
"2","","0","Shop dropdown","0","0","As the user I want to change the epoch filter inside strategy games","0"
"1","","0","Job offer page","0","0","As an user, I want to check the job offer","0"
"0","","0","Search bar","1","0","As an user, I want to search for 'Cyberpunk'","0"
"0","","0","Home page","1","0","As an user, I want to access the home page","0"
"0","","0","Home page","1","0","As an user, I want to use the slider to the left","0"
"0","","0","Home page","1","0","As an user, I want to change the website to english","0"
"0","","0","Search bar","1","0","As an user, I want to search for 'Binding of'","0"
