"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the user can scroll to the likeable tags","22496","testScrollToLikableTags()","","Fri Feb 06 10:32:21 UTC 2026","broken","Fri Feb 06 10:32:44 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToLikableTags"
"","22252","testClickFirstGameInSwiper()","","Fri Feb 06 10:33:40 UTC 2026","broken","Fri Feb 06 10:34:02 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","5066","testFirstResultContainsWitcher()","","Fri Feb 06 10:34:17 UTC 2026","passed","Fri Feb 06 10:34:22 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"Display the shop dropdown then verify if we can click on the shop item 'open world'","22428","testGoToOpenWorld()","","Fri Feb 06 10:32:44 UTC 2026","broken","Fri Feb 06 10:33:06 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToOpenWorld"
"Verify that the user can change the epoch filter to 90 then scroll to the displayed games","22610","testScrollToDisplayGames()","","Fri Feb 06 10:31:35 UTC 2026","broken","Fri Feb 06 10:31:58 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testScrollToDisplayGames"
"Verify that the user can go to the strategy page","23329","testGoToStrategy()","","Fri Feb 06 10:31:58 UTC 2026","broken","Fri Feb 06 10:32:21 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testGoToStrategy"
"","22240","testChangeLanguage()","","Fri Feb 06 10:34:27 UTC 2026","broken","Fri Feb 06 10:34:49 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testChangeLanguage"
"Display the shop dropdown then verify if we can click on the shop item 'open world' then if there is games to click on","27312","testOpenWorldGamesDisplay()","","Fri Feb 06 10:30:44 UTC 2026","broken","Fri Feb 06 10:31:12 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testOpenWorldGamesDisplay"
"","4927","testFilterGoodOldGames()","","Fri Feb 06 10:34:02 UTC 2026","passed","Fri Feb 06 10:34:07 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"","4811","testResetFilters()","","Fri Feb 06 10:34:07 UTC 2026","failed","Fri Feb 06 10:34:12 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","25616","testGoToAssistancePage()","","Fri Feb 06 10:34:49 UTC 2026","broken","Fri Feb 06 10:35:15 UTC 2026","","hesias.selenium.practices.correction.tests.AssistanceTest","hesias.selenium.practices.correction.tests.AssistanceTest","testGoToAssistancePage"
"Verify that the user can change the epoch filter to 2010 then to 90 inside strategy games","22550","testFilterBy90Epoch()","","Fri Feb 06 10:33:06 UTC 2026","broken","Fri Feb 06 10:33:29 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy90Epoch"
"Verify that the user can change the epoch filter to 2010 inside strategy games","23339","testFilterBy2010Epoch()","","Fri Feb 06 10:31:12 UTC 2026","broken","Fri Feb 06 10:31:35 UTC 2026","","hesias.selenium.practices.correction.tests.BoutiqueTest","hesias.selenium.practices.correction.tests.BoutiqueTest","testFilterBy2010Epoch"
"","4272","goToJobOfferAndSearchForAJob()","","Fri Feb 06 10:35:15 UTC 2026","broken","Fri Feb 06 10:35:19 UTC 2026","","hesias.selenium.practices.correction.tests.WorkTest","hesias.selenium.practices.correction.tests.WorkTest","goToJobOfferAndSearchForAJob"
"","5633","testSearchCyberpunk()","","Fri Feb 06 10:34:12 UTC 2026","passed","Fri Feb 06 10:34:17 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","2215","testHomePageIsDisplayed()","","Fri Feb 06 10:33:31 UTC 2026","passed","Fri Feb 06 10:33:33 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","2603","testSliderLeft()","","Fri Feb 06 10:33:29 UTC 2026","passed","Fri Feb 06 10:33:31 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","6251","testHomePageChangeLanguageToEn()","","Fri Feb 06 10:33:33 UTC 2026","passed","Fri Feb 06 10:33:40 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","4435","testSearchBindingOf()","","Fri Feb 06 10:34:22 UTC 2026","passed","Fri Feb 06 10:34:27 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
